index,age,euducation_level,job,marital,have_credit_card,have_housing_loan,have_personal_loan,connect_method,previous_connect_month,previous_connect_weekday,campaign_connect_times,after_campaign_connect_day,before_campaign_connect_times,last_campaign_outcomes,employment_rate,consumer_price_index,consumer_confidence_index,label
43,53,medium,employment,married,no,yes,no,cellular,May,Tuesday,4,-1,0,nonexistent,58.2,92.893,-46.2,0
44,35,high,employment,married,no,no,no,cellular,June,Tuesday,2,-1,0,nonexistent,57.1,92.963,-40.8,1
45,50,high,employment,married,unknown,no,no,cellular,August,Wednesday,4,-1,0,nonexistent,61.4,93.444,-36.1,0
46,33,high,employment,single,no,yes,yes,cellular,May,Thursday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
47,28,low,employment,married,unknown,no,no,cellular,July,Thursday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
48,40,high,employment,divorced,no,yes,no,telephone,May,Friday,12,-1,0,nonexistent,61.1,93.994,-36.4,1
49,54,medium,employment,married,unknown,yes,yes,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
50,32,high,employment,married,no,yes,no,cellular,November,Monday,2,-1,1,nonexistent,59.9,93.2,-42,1
51,46,medium,employment,married,no,yes,no,cellular,August,Thursday,11,-1,0,nonexistent,61.4,93.444,-36.1,0
52,28,low,employment,single,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
53,45,high,employment,married,unknown,unknown,unknown,cellular,July,Tuesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
54,50,high,employment,married,no,no,no,telephone,May,Thursday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
55,53,high,employment,single,no,yes,no,cellular,November,Wednesday,3,-1,0,nonexistent,59.9,93.2,-42,1
56,47,high,employment,married,no,yes,no,cellular,November,Friday,1,-1,0,nonexistent,59.9,93.2,-42,0
57,55,medium,retired,married,unknown,yes,yes,cellular,August,Tuesday,5,-1,0,nonexistent,61.4,93.444,-36.1,0
58,45,low,employment,married,unknown,no,no,cellular,April,Thursday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
59,36,medium,employment,married,no,yes,no,cellular,April,Thursday,3,-1,2,failure,58.2,93.075,-47.1,1
60,52,low,employment,married,no,no,yes,cellular,July,Monday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
61,42,high,employment,single,no,yes,no,telephone,June,Friday,3,-1,0,nonexistent,61.4,94.465,-41.8,0
62,49,medium,employment,divorced,no,no,no,cellular,July,Monday,3,-1,0,nonexistent,61.4,93.918,-42.7,0
63,37,medium,employment,married,no,no,no,cellular,May,Friday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
64,35,high,employment,single,unknown,yes,no,cellular,November,Tuesday,2,-1,0,nonexistent,59.9,93.2,-42,0
65,30,high,employment,married,no,yes,no,telephone,November,Thursday,5,-1,0,nonexistent,59.9,93.2,-42,0
66,57,medium,employment,married,no,no,no,cellular,April,Wednesday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
67,55,high,employment,married,unknown,no,no,cellular,July,Tuesday,1,-1,0,nonexistent,61.4,93.918,-42.7,1
68,58,low,employment,married,no,yes,no,telephone,November,Monday,1,-1,0,nonexistent,59.9,93.2,-42,0
69,32,high,employment,single,no,no,no,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
70,41,high,employment,divorced,unknown,yes,no,telephone,June,Friday,5,-1,0,nonexistent,61.4,94.465,-41.8,0
71,26,low,unemployed,married,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,58.2,93.876,-40,0
72,54,medium,employment,married,no,no,no,cellular,May,Thursday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
73,27,high,employment,single,no,yes,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
74,58,low,employment,married,no,yes,no,cellular,May,Friday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
75,42,high,employment,divorced,no,no,yes,telephone,July,Thursday,17,-1,0,nonexistent,61.4,93.918,-42.7,0
76,47,low,employment,married,no,yes,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
77,35,high,employment,married,no,no,no,cellular,November,Tuesday,2,-1,0,nonexistent,59.9,93.2,-42,0
78,43,medium,employment,married,no,no,no,cellular,April,Thursday,1,-1,1,failure,58.2,93.075,-47.1,0
79,28,medium,employment,single,no,no,no,cellular,May,Wednesday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
80,30,medium,employment,married,no,no,no,cellular,July,Monday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
81,31,high,employment,married,no,yes,no,cellular,August,Wednesday,10,-1,0,nonexistent,61.4,93.444,-36.1,0
82,50,low,employment,married,unknown,yes,yes,cellular,July,Monday,4,-1,0,nonexistent,61.4,93.918,-42.7,0
83,30,medium,employment,single,no,yes,no,cellular,May,Monday,2,-1,0,nonexistent,58.2,92.893,-46.2,1
84,41,high,employment,married,no,yes,no,cellular,November,Monday,1,-1,0,nonexistent,59.9,93.2,-42,0
85,44,medium,employment,married,unknown,yes,no,cellular,August,Wednesday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
86,41,low,employment,married,no,no,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
87,45,medium,employment,divorced,no,unknown,unknown,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
88,43,low,employment,married,no,no,no,cellular,July,Monday,30,-1,0,nonexistent,61.4,93.918,-42.7,0
89,33,high,employment,married,no,no,no,cellular,May,Thursday,5,-1,1,failure,58.2,92.893,-46.2,0
90,40,high,employment,married,no,yes,no,cellular,April,Friday,3,-1,0,nonexistent,58.2,93.075,-47.1,0
91,35,medium,employment,married,no,yes,yes,cellular,August,Friday,4,-1,2,failure,57.1,92.201,-31.4,0
92,38,medium,employment,married,no,no,no,cellular,April,Wednesday,2,-1,1,failure,58.2,93.075,-47.1,0
93,44,medium,employment,married,no,yes,no,telephone,April,Thursday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
94,37,high,unemployed,single,no,no,no,telephone,June,Friday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
95,31,high,employment,single,no,no,no,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,1
96,41,medium,employment,married,no,yes,no,cellular,July,Monday,8,-1,0,nonexistent,61.4,93.918,-42.7,0
97,33,medium,employment,single,no,yes,no,cellular,May,Tuesday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
98,33,high,employment,single,no,yes,no,cellular,August,Tuesday,2,-1,0,nonexistent,61.4,93.444,-36.1,1
99,34,medium,employment,single,no,yes,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
100,20,medium,student,single,no,no,no,cellular,November,Wednesday,2,3,3,success,56.6,92.649,-30.1,1
101,28,medium,employment,married,no,no,no,telephone,May,Tuesday,6,-1,0,nonexistent,61.1,93.994,-36.4,0
102,28,low,employment,married,no,no,no,telephone,July,Tuesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
103,51,medium,employment,married,unknown,yes,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
104,40,high,employment,married,no,yes,no,telephone,June,Tuesday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
105,61,medium,retired,married,no,yes,yes,cellular,September,Friday,2,-1,0,nonexistent,56.6,92.379,-29.8,0
106,59,high,employment,married,no,yes,yes,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
107,28,medium,employment,married,unknown,yes,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
108,31,high,employment,married,no,yes,no,cellular,August,Thursday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
109,30,high,employment,married,no,no,yes,cellular,July,Wednesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
110,34,high,employment,married,no,yes,no,cellular,May,Tuesday,2,-1,1,failure,58.2,92.893,-46.2,0
111,52,high,employment,married,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
112,42,medium,employment,married,no,yes,no,telephone,June,Monday,8,-1,0,nonexistent,61.4,94.465,-41.8,1
113,75,low,employment,divorced,no,no,no,telephone,November,Monday,8,3,1,success,56.6,92.649,-30.1,0
114,37,high,employment,divorced,no,no,yes,cellular,May,Thursday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
115,47,low,employment,married,unknown,no,no,telephone,May,Friday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
116,30,medium,employment,single,no,yes,yes,cellular,May,Monday,2,-1,1,failure,58.2,92.893,-46.2,0
117,32,high,employment,single,no,no,no,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
118,34,medium,employment,single,no,yes,yes,cellular,April,Tuesday,2,-1,0,nonexistent,58.2,93.075,-47.1,1
119,56,high,employment,married,no,yes,no,cellular,August,Tuesday,2,-1,0,nonexistent,57.1,92.201,-31.4,1
120,60,high,employment,married,unknown,yes,no,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
121,43,high,employment,married,no,yes,no,cellular,August,Wednesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
122,49,medium,employment,divorced,no,yes,no,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
123,36,medium,employment,married,no,no,yes,cellular,May,Friday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
124,24,low,employment,single,no,yes,no,cellular,July,Thursday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
125,45,high,employment,married,no,no,yes,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
126,40,high,employment,single,no,yes,no,cellular,August,Wednesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
127,53,high,employment,divorced,unknown,no,yes,telephone,May,Monday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
128,31,high,employment,single,no,yes,no,cellular,August,Thursday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
129,29,medium,employment,married,no,yes,no,cellular,May,Friday,4,-1,0,nonexistent,58.2,92.893,-46.2,1
130,59,low,employment,married,unknown,no,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
131,38,medium,employment,divorced,no,yes,no,cellular,November,Thursday,3,-1,0,nonexistent,59.9,93.2,-42,0
132,45,medium,employment,married,no,yes,no,cellular,April,Monday,3,-1,0,nonexistent,58.2,93.075,-47.1,0
133,34,medium,employment,married,unknown,yes,yes,telephone,May,Tuesday,9,-1,0,nonexistent,61.1,93.994,-36.4,0
134,37,high,employment,married,unknown,yes,no,cellular,November,Monday,2,-1,1,failure,59.9,93.2,-42,0
135,32,medium,employment,married,no,no,no,cellular,July,Thursday,11,-1,0,nonexistent,61.4,93.918,-42.7,1
136,39,medium,employment,married,no,yes,no,cellular,May,Monday,3,-1,0,nonexistent,58.2,92.893,-46.2,1
137,34,medium,employment,married,no,no,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
138,62,high,employment,married,no,yes,no,telephone,September,Tuesday,1,-1,0,nonexistent,56.6,92.379,-29.8,1
139,35,low,unemployed,divorced,no,yes,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
140,39,high,employment,single,no,yes,no,cellular,November,Wednesday,4,-1,0,nonexistent,59.9,93.2,-42,0
141,25,high,student,single,no,yes,no,cellular,August,Tuesday,2,-1,2,failure,57.1,92.201,-31.4,1
142,29,medium,employment,single,no,no,no,telephone,July,Thursday,1,-1,0,nonexistent,58.3,94.215,-40.3,0
143,40,medium,employment,divorced,no,no,no,telephone,June,Wednesday,6,-1,0,nonexistent,61.4,94.465,-41.8,1
144,42,high,employment,married,no,yes,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
145,35,high,employment,divorced,no,yes,no,telephone,June,Wednesday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
146,24,high,employment,single,unknown,no,no,cellular,May,Monday,1,-1,1,failure,58.2,92.893,-46.2,0
147,32,high,employment,single,no,no,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
148,31,medium,employment,single,no,no,no,cellular,November,Friday,1,-1,0,nonexistent,59.9,93.2,-42,0
149,73,medium,retired,divorced,no,no,yes,cellular,December,Tuesday,3,6,2,success,57.0,92.713,-33,1
150,31,high,employment,single,no,no,no,cellular,August,Monday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
151,25,medium,employment,married,no,no,no,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
152,31,high,employment,single,no,yes,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
153,45,high,employment,married,no,yes,no,telephone,May,Tuesday,2,-1,0,nonexistent,61.1,93.994,-36.4,1
154,26,medium,employment,married,no,unknown,unknown,cellular,July,Wednesday,6,-1,0,nonexistent,61.4,93.918,-42.7,0
155,48,medium,employment,married,unknown,yes,no,telephone,May,Friday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
156,49,low,employment,married,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
157,37,high,employment,single,no,no,no,cellular,May,Tuesday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
158,39,high,employment,married,no,yes,no,telephone,December,Tuesday,1,-1,0,nonexistent,59.8,92.756,-45.9,0
159,34,high,employment,married,no,no,no,cellular,July,Tuesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
160,32,high,employment,single,no,yes,yes,cellular,August,Thursday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
161,51,low,employment,married,unknown,no,no,cellular,August,Monday,7,-1,0,nonexistent,61.4,93.444,-36.1,0
162,30,high,employment,single,unknown,yes,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
163,35,low,employment,married,unknown,no,no,cellular,May,Friday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
164,54,medium,employment,married,no,yes,no,cellular,August,Monday,1,-1,0,nonexistent,61.4,93.444,-36.1,1
165,28,medium,employment,single,no,yes,yes,cellular,June,Monday,5,-1,0,nonexistent,57.1,92.963,-40.8,0
166,41,high,employment,single,no,yes,yes,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
167,67,high,employment,divorced,no,yes,no,cellular,November,Monday,2,5,5,success,58.9,94.767,-50.8,1
168,98,low,retired,married,unknown,yes,no,cellular,Octobor,Friday,1,2,2,success,56.6,92.431,-26.9,1
169,29,high,employment,single,no,no,yes,cellular,August,Monday,6,-1,0,nonexistent,61.4,93.444,-36.1,0
170,88,low,retired,divorced,no,yes,no,cellular,March,Wednesday,3,-1,0,nonexistent,58.2,92.843,-50,1
171,20,medium,student,single,no,no,no,cellular,July,Wednesday,1,-1,0,nonexistent,57.1,92.469,-33.6,0
172,36,high,employment,married,no,yes,no,cellular,June,Thursday,1,-1,1,failure,57.1,92.963,-40.8,1
173,62,medium,retired,married,no,yes,no,cellular,Octobor,Friday,3,-1,0,nonexistent,56.6,92.431,-26.9,1
174,32,high,employment,married,unknown,no,no,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
175,32,medium,employment,married,no,yes,no,cellular,July,Friday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
176,36,medium,employment,married,no,yes,yes,cellular,August,Thursday,2,-1,1,failure,57.1,92.201,-31.4,1
177,47,medium,employment,married,no,no,no,cellular,August,Monday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
178,44,high,employment,married,unknown,no,no,cellular,July,Tuesday,20,-1,0,nonexistent,61.4,93.918,-42.7,0
179,45,low,employment,married,unknown,no,no,telephone,May,Wednesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
180,49,high,employment,single,no,yes,no,telephone,Octobor,Monday,1,-1,0,nonexistent,59.9,93.798,-40.4,0
181,35,high,employment,single,no,yes,no,cellular,August,Monday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
182,43,high,employment,single,no,no,no,cellular,August,Friday,1,-1,0,nonexistent,57.1,92.201,-31.4,0
183,39,high,employment,married,no,yes,yes,cellular,July,Wednesday,6,-1,0,nonexistent,61.4,93.918,-42.7,0
184,53,high,employment,divorced,no,no,no,cellular,November,Monday,1,-1,0,nonexistent,59.9,93.2,-42,0
185,57,high,unemployed,married,no,yes,yes,cellular,November,Friday,1,-1,0,nonexistent,59.9,93.2,-42,0
186,56,medium,retired,married,no,yes,yes,cellular,July,Friday,2,-1,0,nonexistent,57.1,92.469,-33.6,1
187,36,high,employment,married,no,yes,no,cellular,May,Monday,6,-1,0,nonexistent,58.2,92.893,-46.2,0
188,69,low,retired,married,no,yes,yes,cellular,Octobor,Friday,3,-1,0,nonexistent,56.6,92.431,-26.9,1
189,42,high,employment,married,unknown,no,no,telephone,May,Tuesday,4,-1,0,nonexistent,61.1,93.994,-36.4,0
190,61,low,retired,married,no,yes,yes,cellular,August,Friday,1,-1,0,nonexistent,57.1,92.201,-31.4,1
191,33,medium,employment,divorced,no,yes,no,telephone,June,Thursday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
192,38,low,employment,divorced,no,yes,no,cellular,July,Tuesday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
193,24,medium,employment,single,no,yes,no,cellular,July,Monday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
194,56,medium,unemployed,married,unknown,no,no,telephone,June,Tuesday,3,-1,0,nonexistent,61.4,94.465,-41.8,0
195,36,high,employment,single,no,no,no,cellular,May,Thursday,4,-1,0,nonexistent,58.2,92.893,-46.2,0
196,40,medium,employment,divorced,no,no,no,cellular,November,Friday,1,-1,0,nonexistent,59.9,93.2,-42,0
197,35,high,employment,single,no,no,yes,cellular,May,Friday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
198,44,medium,employment,divorced,no,no,no,cellular,July,Tuesday,5,-1,0,nonexistent,57.1,92.469,-33.6,1
199,46,medium,employment,divorced,no,yes,no,telephone,July,Thursday,1,-1,0,nonexistent,57.1,92.469,-33.6,1
200,53,low,retired,single,no,yes,no,cellular,June,Monday,3,-1,0,nonexistent,57.1,92.963,-40.8,1
201,31,medium,employment,single,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
202,54,high,employment,married,no,yes,no,cellular,June,Thursday,1,-1,0,nonexistent,57.1,92.963,-40.8,0
203,39,medium,employment,married,no,no,no,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
204,45,medium,employment,married,unknown,yes,no,telephone,May,Wednesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
205,35,low,employment,married,unknown,yes,no,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
206,42,low,employment,married,unknown,no,no,telephone,May,Thursday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
207,34,high,employment,married,no,yes,no,cellular,May,Monday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
208,27,high,employment,married,no,no,no,cellular,May,Thursday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
209,37,high,employment,married,no,yes,no,telephone,May,Thursday,12,-1,0,nonexistent,61.1,93.994,-36.4,0
210,46,medium,retired,married,unknown,yes,no,cellular,August,Wednesday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
211,41,medium,employment,single,no,yes,no,cellular,March,Wednesday,2,13,1,success,58.2,93.369,-34.8,1
212,47,medium,employment,married,no,yes,no,telephone,April,Thursday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
213,30,medium,employment,married,no,yes,no,cellular,July,Tuesday,7,-1,0,nonexistent,61.4,93.918,-42.7,0
214,37,medium,employment,married,no,yes,yes,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
215,52,high,employment,married,no,no,no,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
216,32,high,employment,single,no,no,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
217,45,high,employment,divorced,unknown,yes,yes,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
218,30,medium,employment,married,no,yes,no,cellular,August,Monday,9,-1,0,nonexistent,61.4,93.444,-36.1,0
219,29,medium,employment,single,no,no,no,cellular,September,Thursday,1,-1,0,nonexistent,58.9,94.199,-37.5,0
220,56,high,unemployed,married,no,no,no,cellular,September,Friday,3,6,1,success,56.6,92.379,-29.8,1
221,36,high,employment,married,no,yes,no,cellular,May,Tuesday,4,-1,1,failure,58.2,92.893,-46.2,1
222,49,medium,employment,married,no,yes,no,telephone,July,Monday,8,-1,0,nonexistent,61.4,93.918,-42.7,0
223,48,high,employment,married,no,yes,no,cellular,December,Monday,4,6,2,success,57.0,92.713,-33,0
224,35,low,employment,single,unknown,no,no,telephone,June,Thursday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
225,30,medium,employment,married,unknown,yes,no,telephone,May,Friday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
226,41,high,employment,married,no,no,no,telephone,June,Tuesday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
227,35,medium,unemployed,married,no,no,yes,telephone,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
228,48,medium,employment,married,no,no,no,cellular,August,Wednesday,1,16,3,failure,58.3,94.027,-38.3,1
229,51,low,employment,married,no,yes,yes,telephone,December,Monday,1,-1,0,nonexistent,59.8,92.756,-45.9,0
230,41,medium,employment,single,no,yes,yes,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
231,42,medium,employment,married,unknown,no,yes,cellular,July,Thursday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
232,46,medium,employment,married,unknown,no,no,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
233,29,high,employment,single,no,no,no,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
234,58,high,employment,divorced,no,no,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
235,29,high,employment,single,no,unknown,unknown,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
236,33,high,employment,married,unknown,yes,no,cellular,July,Tuesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
237,29,high,employment,single,unknown,no,yes,telephone,June,Tuesday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
238,38,high,employment,married,no,no,no,cellular,March,Tuesday,2,-1,2,failure,58.2,92.843,-50,1
